3.2462 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
1318.6497 	DATA 	Keypress: v
1318.6662 	EXP 	background: autoDraw = False
1318.6662 	EXP 	person_img: autoDraw = False
1318.6662 	EXP 	food: autoDraw = False
1318.6662 	EXP 	text_6: text = 'Correct'
1318.6662 	EXP 	text_6: autoDraw = True
1320.6517 	EXP 	New trial (rep=0, index=3): OrderedDict([('facing_train', 'C'), ('person_train', 'U'), ('food_train', 'g'), ('correct_key_train', 'n')])
1320.6679 	EXP 	text_6: autoDraw = False
1320.6679 	EXP 	text_6: autoDraw = False
1321.1850 	EXP 	text_4: autoDraw = True
1321.6886 	EXP 	text_4: autoDraw = False
1321.6886 	EXP 	text_4: autoDraw = False
1321.6886 	EXP 	person_img: image = 'blue_center_nf.png'
1321.6886 	EXP 	food: image = 'wheat5_t.png'
1321.9557 	EXP 	background: autoDraw = True
1321.9557 	EXP 	person_img: autoDraw = True
1321.9557 	EXP 	food: autoDraw = True
1323.3534 	DATA 	Keypress: b
