3.2477 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
944.5176 	EXP 	person_img: image = 'red_center.png'
944.5176 	EXP 	food: image = 'insect1_t.png'
944.8648 	EXP 	background: autoDraw = True
944.8648 	EXP 	person_img: autoDraw = True
944.8648 	EXP 	food: autoDraw = True
949.2848 	DATA 	Keypress: b
949.3014 	EXP 	background: autoDraw = False
949.3014 	EXP 	person_img: autoDraw = False
949.3014 	EXP 	food: autoDraw = False
949.3014 	EXP 	text_6: text = 'Correct'
949.3014 	EXP 	text_6: autoDraw = True
951.2867 	EXP 	New trial (rep=0, index=1): OrderedDict([('facing_train', 'C'), ('person_train', 'G'), ('food_train', 'g'), ('correct_key_train', 'v')])
951.3029 	EXP 	text_6: autoDraw = False
951.3029 	EXP 	text_6: autoDraw = False
951.8200 	EXP 	text_4: autoDraw = True
952.3037 	EXP 	text_4: autoDraw = False
952.3037 	EXP 	text_4: autoDraw = False
952.3037 	EXP 	person_img: image = 'red_center.png'
952.3037 	EXP 	food: image = 'wheat4_t.png'
952.5540 	EXP 	background: autoDraw = True
952.5540 	EXP 	person_img: autoDraw = True
952.5540 	EXP 	food: autoDraw = True
956.1902 	DATA 	Keypress: v
956.2067 	EXP 	background: autoDraw = False
956.2067 	EXP 	person_img: autoDraw = False
956.2067 	EXP 	food: autoDraw = False
956.2067 	EXP 	text_6: text = 'Correct'
956.2067 	EXP 	text_6: autoDraw = True
958.1921 	EXP 	New trial (rep=0, index=2): OrderedDict([('facing_train', 'C'), ('person_train', 'D'), ('food_train', 'g'), ('correct_key_train', 'b')])
958.2082 	EXP 	text_6: autoDraw = False
958.2082 	EXP 	text_6: autoDraw = False
958.7253 	EXP 	text_4: autoDraw = True
959.2257 	EXP 	text_4: autoDraw = False
959.2257 	EXP 	text_4: autoDraw = False
959.2257 	EXP 	person_img: image = 'green_center_nf.png'
959.2257 	EXP 	food: image = 'wheat5_t.png'
959.4760 	EXP 	background: autoDraw = True
959.4760 	EXP 	person_img: autoDraw = True
959.4760 	EXP 	food: autoDraw = True
962.1781 	DATA 	Keypress: b
962.1947 	EXP 	background: autoDraw = False
962.1947 	EXP 	person_img: autoDraw = False
962.1947 	EXP 	food: autoDraw = False
962.1947 	EXP 	text_6: text = 'Correct'
962.1947 	EXP 	text_6: autoDraw = True
964.1800 	EXP 	New trial (rep=0, index=3): OrderedDict([('facing_train', 'C'), ('person_train', 'D'), ('food_train', 'd'), ('correct_key_train', 'v')])
964.1962 	EXP 	text_6: autoDraw = False
964.1962 	EXP 	text_6: autoDraw = False
964.7133 	EXP 	text_4: autoDraw = True
965.2303 	EXP 	text_4: autoDraw = False
965.2303 	EXP 	text_4: autoDraw = False
965.2303 	EXP 	person_img: image = 'green_center_nf.png'
965.2303 	EXP 	food: image = 'dairy1_t.png'
965.4640 	EXP 	background: autoDraw = True
965.4640 	EXP 	person_img: autoDraw = True
965.4640 	EXP 	food: autoDraw = True
966.7650 	DATA 	Keypress: v
966.7815 	EXP 	background: autoDraw = False
966.7815 	EXP 	person_img: autoDraw = False
966.7815 	EXP 	food: autoDraw = False
966.7815 	EXP 	text_6: text = 'Correct'
966.7815 	EXP 	text_6: autoDraw = True
968.7669 	EXP 	New trial (rep=0, index=4): OrderedDict([('facing_train', 'C'), ('person_train', 'D'), ('food_train', 'g'), ('correct_key_train', 'b')])
968.7831 	EXP 	text_6: autoDraw = False
